UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
359,LH,1,2500,0,MAN,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,569,LOS,LOS,NG,I,23:50,FRA,FRA,DE,1,1,06:20,333,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
359,LH,1,2500,0,MAN,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,938,FRA,FRA,DE,1,14:20,MAN,MAN,GB,1,0,15:05,319,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
358,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,921,LHR,LON,GB,2,06:30,FRA,FRA,DE,1,0,09:05,32N,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
358,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,542,FRA,FRA,DE,1,10:40,BOG,BOG,CO,I,0,17:00,343,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
358,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,543,BOG,BOG,CO,1,18:50,FRA,FRA,DE,1,1,13:40,343,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
358,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,922,FRA,FRA,DE,1,21:30,LHR,LON,GB,2,0,22:15,32N,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
357,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,921,LHR,LON,GB,2,06:30,FRA,FRA,DE,1,0,09:05,32N,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
357,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,542,FRA,FRA,DE,1,10:40,BOG,BOG,CO,I,0,17:00,343,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
357,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,543,BOG,BOG,CO,1,18:50,FRA,FRA,DE,1,1,13:40,343,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
357,LH,1,2100,0,LHR,BOG,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,914,FRA,FRA,DE,1,16:00,LHR,LON,GB,2,0,16:45,32N,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
