UniqueId,ValCarrier,AirV,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,OfferType,ValidFromDate,ValidToDate,Status,ModifiedBy,OperatingCarrierCode,FltNum,SerialId,D_AirportCode,D_AirportCityCode,D_Terminal,D_AirportCountryCode,D_Time,D_DateTimeStamp,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,A_Time,A_DateTimeStamp,EquipType,IsNextDayCount,IsReturn,BaggageInfo
187,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5405,3,ROC,ROC,N,US,7:00,T07:00:00.000-04:00,ORD,ORD,US,3,7:50,T07:50:00.000-04:00,E75,0,TRUE,0 Pcs included
187,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5752,4,ORD,ORD,3,US,9:05,T09:05:00.000-04:00,LHR,LON,GB,3,22:40,T22:40:00.000+01:00,772,0,TRUE,0 Pcs included
186,KL,KL,1,905,0,LHR,ACC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,kl,1002,1,LHR,LON,2,GB,8:40,T08:40:00.000+01:00,AMS,AMS,NL,N,11:05,T11:05:00.000+02:00,73H,0,FALSE,0 Pcs included
186,KL,KL,1,905,0,LHR,ACC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,kl,589,2,AMS,AMS,N,NL,14:25,T14:25:00.000+02:00,ACC,ACC,GH,3,19:55,T19:55:00.000+00:00,77W,0,FALSE,0 Pcs included
186,KL,KL,1,905,0,LHR,ACC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,kl,590,3,ACC,ACC,3,GH,22:15,T22:15:00.000+00:00,AMS,AMS,NL,N,5:50,T05:50:00.000+02:00,77W,1,TRUE,0 Pcs included
186,KL,KL,1,905,0,LHR,ACC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,kl,1001,4,AMS,AMS,N,NL,7:20,T07:20:00.000+02:00,LHR,LON,GB,2,7:40,T07:40:00.000+01:00,73H,0,TRUE,0 Pcs included
185,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3043,1,LHR,LON,5,GB,14:15,T14:15:00.000+01:00,PHL,PHL,US,A,17:15,T17:15:00.000-05:00,359,0,FALSE,0 Pcs included
185,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3043,2,PHL,PHL,F,US,21:25,T21:25:00.000-04:00,BUF,BUF,US,N,22:53,T22:53:00.000-04:00,ER4,0,FALSE,0 Pcs included
185,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5405,3,BUF,BUF,N,US,5:25,T05:25:00.000-04:00,ORD,ORD,US,3,6:14,T06:14:00.000-04:00,E75,0,TRUE,0 Pcs included
185,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5752,4,ORD,ORD,3,US,9:05,T09:05:00.000-04:00,LHR,LON,GB,3,22:40,T22:40:00.000+01:00,772,0,TRUE,0 Pcs included
184,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5789,1,LHR,LON,3,GB,17:15,T17:15:00.000+01:00,ORD,ORD,US,5,20:20,T20:20:00.000-05:00,772,0,FALSE,0 Pcs included
184,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5789,2,ORD,ORD,3,US,22:10,T22:10:00.000-04:00,BUF,BUF,US,N,0:45,T00:45:00.000-04:00,E75,0,FALSE,0 Pcs included
184,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5066,3,BUF,BUF,N,US,17:15,T17:15:00.000-04:00,PHL,PHL,US,F,18:42,T18:42:00.000-04:00,ER4,0,TRUE,0 Pcs included
184,AY,AY,1,1001,0,LHR,BUF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5667,4,PHL,PHL,A,US,22:00,T22:00:00.000-04:00,LHR,LON,GB,3,10:10,T10:10:00.000+01:00,772,1,TRUE,0 Pcs included
183,AY,AY,1,1001,0,LHR,SGF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5660,1,LHR,LON,3,GB,10:05,T10:05:00.000+01:00,CLT,CLT,US,N,14:30,T14:30:00.000-05:00,772,0,FALSE,0 Pcs included
183,AY,AY,1,1001,0,LHR,SGF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4250,2,CLT,CLT,N,US,18:05,T18:05:00.000-04:00,SGF,SGF,US,N,19:16,T19:16:00.000-04:00,ERD,0,FALSE,0 Pcs included
183,AY,AY,1,1001,0,LHR,SGF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4867,3,SGF,SGF,N,US,12:43,T12:43:00.000-04:00,ORD,ORD,US,3,14:25,T14:25:00.000-04:00,ER4,0,TRUE,0 Pcs included
183,AY,AY,1,1001,0,LHR,SGF,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5897,4,ORD,ORD,3,US,19:00,T19:00:00.000-04:00,LHR,LON,GB,3,8:40,T08:40:00.000+01:00,772,1,TRUE,0 Pcs included
182,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,BA,4051,1,LHR,LON,5,GB,15:35,T15:35:00.000+01:00,ORD,ORD,US,5,18:30,T18:30:00.000-05:00,777,0,FALSE,0 Pcs included
182,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4219,2,ORD,ORD,3,US,20:50,T20:50:00.000-04:00,MKE,MKE,US,N,21:39,T21:39:00.000-04:00,CR7,0,FALSE,0 Pcs included
182,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,6812,3,MKE,MKE,N,US,15:58,T15:58:00.000-04:00,CLT,CLT,US,N,19:05,T19:05:00.000-04:00,CR9,0,TRUE,0 Pcs included
182,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5743,4,CLT,CLT,N,US,20:55,T20:55:00.000-04:00,LHR,LON,GB,3,10:00,T10:00:00.000+01:00,772,1,TRUE,0 Pcs included
181,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5914,1,LHR,LON,3,GB,12:35,T12:35:00.000+01:00,MIA,MIA,US,N,17:35,T17:35:00.000-05:00,772,0,FALSE,0 Pcs included
181,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4973,2,MIA,MIA,N,US,21:35,T21:35:00.000-04:00,MKE,MKE,US,N,0:05,T00:05:00.000-04:00,E75,1,FALSE,0 Pcs included
181,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4456,3,MKE,MKE,N,US,11:16,T11:16:00.000-04:00,ORD,ORD,US,3,12:15,T12:15:00.000-04:00,CR7,0,TRUE,0 Pcs included
181,AY,AY,1,1001,0,LHR,MKE,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5897,4,ORD,ORD,3,US,19:00,T19:00:00.000-04:00,LHR,LON,GB,3,8:40,T08:40:00.000+01:00,772,1,TRUE,0 Pcs included
180,AY,AY,1,1001,0,LHR,RDU,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,BA,5940,1,LHR,LON,5,GB,12:55,T12:55:00.000+01:00,JFK,JFK,US,7,16:05,T16:05:00.000-05:00,777,0,FALSE,0 Pcs included
180,AY,AY,1,1001,0,LHR,RDU,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,6500,2,JFK,JFK,8,US,20:30,T20:30:00.000-04:00,RDU,RDU,US,2,22:28,T22:28:00.000-04:00,ERD,0,FALSE,0 Pcs included
180,AY,AY,1,1001,0,LHR,RDU,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5707,3,RDU,RDU,2,US,17:53,T17:53:00.000-04:00,CLT,CLT,US,N,19:10,T19:10:00.000-04:00,321,0,TRUE,0 Pcs included
180,AY,AY,1,1001,0,LHR,RDU,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5743,4,CLT,CLT,N,US,20:55,T20:55:00.000-04:00,LHR,LON,GB,3,10:00,T10:00:00.000+01:00,772,1,TRUE,0 Pcs included
179,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,BA,4051,1,LHR,LON,5,GB,15:35,T15:35:00.000+01:00,ORD,ORD,US,5,18:30,T18:30:00.000-04:00,777,0,FALSE,0 Pcs included
179,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,6528,2,ORD,ORD,3,US,20:40,T20:40:00.000-04:00,MSP,MSP,US,1,22:07,T22:07:00.000-04:00,738,0,FALSE,0 Pcs included
179,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3286,3,MSP,MSP,1,US,12:13,T12:13:00.000-04:00,MIA,MIA,US,N,16:45,T16:45:00.000-05:00,E75,0,TRUE,0 Pcs included
179,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4093,4,MIA,MIA,N,US,18:05,T18:05:00.000-05:00,LHR,LON,GB,3,7:45,T07:45:00.000+01:00,772,1,TRUE,0 Pcs included
178,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5787,1,LHR,LON,3,GB,8:40,T08:40:00.000+01:00,ORD,ORD,US,5,11:35,T11:35:00.000-04:00,772,0,FALSE,0 Pcs included
178,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5851,2,ORD,ORD,3,US,13:40,T13:40:00.000-04:00,MSP,MSP,US,1,15:08,T15:08:00.000-04:00,738,0,FALSE,0 Pcs included
178,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3286,3,MSP,MSP,1,US,12:13,T12:13:00.000-04:00,MIA,MIA,US,N,16:45,T16:45:00.000-05:00,E75,0,TRUE,0 Pcs included
