UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,OfferType,ValidFromDate,ValidToDate,Status,ModifiedBy,OperatingCarrierCode,SerialId,IsConnect,AirV,AirlineName,Class,CabinClassCode,CabinClassName,NoSeats,FltNum,D_AirportCode,D_AirportName,D_AirportCityCode,D_AirportCityName,D_AirportCountryCode,D_AirportCountryName,D_Terminal,D_Time,D_DateTimeStamp,A_AirportCode,A_AirportName,A_AirportCityCode,A_AirportCityName,A_AirportCountryCode,A_AirportCountryName,A_Terminal,IsNextDayCount,A_Time,A_DateTimeStamp,EquipType,ElapsedTime,ActualTime,TechStopOver,IsReturn,BI_Pieces,BI_Price,BI_Description,TransitTime,Sector_Key,Distance,ETicket,ChangeOfPlane,ParticipantLevel,OptionalServicesIndicator,AvailabilitySource,Sector_Group,OperatingCarrierName,BookingCodeInfo,FareBasisCode,ItinKey,SupCode,BaggageInfo
161,AY,1,1001,0,LHR,ATL,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,1,FALSE,AY,Finnair,Y,Y,Economy,5,4029,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,3,10:35,T10:35:00.000+01:00,MIA,Miami-Miami Intl,MIA,Miami-Miami Intl,US, United States,N,0,15:40,T15:40:00.000-04:00,77W,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,cfb6ee1c-c6a2-4c9b-b005-b9fcae39cd2f,0,1,FALSE,Secure Sell,TRUE,RT,0,American Airlines,NA,NA,90b88080-dab1-40bf-9863-53d52fa07f82,NA,0 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,2,FALSE,AY,Finnair,Y,Y,Economy,5,4750,MIA,Miami-Miami Intl,MIA,Miami-Miami Intl,US, United States,N,17:30,T17:30:00.000-04:00,ATL,Atlanta-Hartsfield Jackson Intl Arpt,ATL,Atlanta-Hartsfield Jackson Intl Arpt,US, United States,N,0,19:31,T19:31:00.000-04:00,319,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,9f0ac132-1758-4775-9ce5-e3250320d36d,0,1,FALSE,Secure Sell,TRUE,RT,0,American Airlines,NA,NA,7a299a06-7a99-4f57-89d9-a575399f75d3,NA,0 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,3,FALSE,AY,Finnair,Y,Y,Economy,5,3048,ATL,Atlanta-Hartsfield Jackson Intl Arpt,ATL,Atlanta-Hartsfield Jackson Intl Arpt,US, United States,N,6:23,T06:23:00.000-04:00,ORD,Chicago-O'Hare Intl Arpt,ORD,Chicago-O'Hare Intl Arpt,US, United States,3,0,7:22,T07:22:00.000-05:00,319,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,bd6814ce-d29d-486d-88ca-8a8ba734ae6a,0,1,FALSE,Secure Sell,TRUE,RT,1,American Airlines,NA,NA,fd17c0fd-ad46-4a79-9376-ec47834335dd,NA,0 Pcs included
161,AY,1,1001,0,LHR,ATL,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,4,FALSE,AY,Finnair,Y,Y,Economy,5,5752,ORD,Chicago-O'Hare Intl Arpt,ORD,Chicago-O'Hare Intl Arpt,US, United States,3,9:05,T09:05:00.000-05:00,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,3,0,22:40,T22:40:00.000+01:00,772,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,75db66c9-c4df-48e1-a409-5c144ca5f864,0,1,FALSE,Secure Sell,TRUE,RT,1,American Airlines,NA,NA,6b9ddac5-b8e4-4e99-b453-3902a0bd2893,NA,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TP,1,FALSE,TP,Tap Portugal ,Y,Y,Economy,5,1363,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,2,6:00,T06:00:00.000+01:00,LIS,Lisbon-Lisbon Arpt,LIS,Lisbon-Lisbon Arpt,PT, Portugal,N,0,8:35,T08:35:00.000+00:00,320,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,740ba4d1-febd-465d-be3a-9cb6137330c8,0,1,FALSE,Secure Sell,TRUE,RT,0,Tap Portugal ,NA,NA,bf971052-c323-424d-b42c-30807a6d5c78,NA,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TP,2,FALSE,TP,Tap Portugal ,Y,Y,Economy,5,1507,LIS,Lisbon-Lisbon Arpt,LIS,Lisbon-Lisbon Arpt,PT, Portugal,N,10:00,T10:00:00.000+01:00,ABJ,Abidjan-Houphouet Boigny Arpt,ABJ,Abidjan-Houphouet Boigny Arpt,CI, Cote d'Ivoire,N,0,15:15,T15:15:00.000+00:00,320,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,aac921b5-8533-4e05-906b-b72e10164daa,0,1,FALSE,Secure Sell,TRUE,RT,0,Tap Portugal ,NA,NA,1394fff5-feb8-460b-85f7-d42d8cec5aec,NA,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TP,3,FALSE,TP,Tap Portugal ,Y,Y,Economy,5,1510,ABJ,Abidjan-Houphouet Boigny Arpt,ABJ,Abidjan-Houphouet Boigny Arpt,CI, Cote d'Ivoire,N,0:15,T00:15:00.000+00:00,LIS,Lisbon-Lisbon Arpt,LIS,Lisbon-Lisbon Arpt,PT, Portugal,N,0,5:35,T05:35:00.000+01:00,320,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,a3531228-9d53-4326-bedb-847737fc0cbe,0,1,FALSE,Secure Sell,TRUE,RT,1,Tap Portugal ,NA,NA,4a4f52af-7086-44d9-b996-7dbe1405dfb3,NA,0 Pcs included
160,TP,1,1001,0,LHR,ABJ,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TP,4,FALSE,TP,Tap Portugal ,Y,Y,Economy,5,1338,LIS,Lisbon-Lisbon Arpt,LIS,Lisbon-Lisbon Arpt,BE, Portugal,N,7:10,T07:10:00.000+01:00,LGW,London-Gatwick Arpt,LON,London-All London (Airports),GB, United Kingdom,2,0,9:50,T09:50:00.000+01:00,320,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,086ecc96-93f4-4c24-9482-d0719dff4eac,0,1,FALSE,Secure Sell,TRUE,RT,1,Tap Portugal ,NA,NA,2bcd85b3-3ca9-4197-8d50-849e968c18a7,NA,0 Pcs included
159,AY,1,1001,0,LHR,CVG,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,1,FALSE,AY,Finnair,Y,Y,Economy,5,5746,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,5,9:15,T09:15:00.000+01:00,ORD,Chicago-O'Hare Intl Arpt,ORD,Chicago-O'Hare Intl Arpt,US, United States,5,0,11:50,T11:50:00.000-05:00,788,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,8896a633-8524-4209-b174-717e371fbba0,0,1,FALSE,Secure Sell,TRUE,RT,0,American Airlines,NA,NA,c69e665a-19f7-4f9f-9d64-308671866d3e,NA,0 Pcs included
159,AY,1,1001,0,LHR,CVG,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,2,FALSE,AY,Finnair,Y,Y,Economy,5,5306,ORD,Chicago-O'Hare Intl Arpt,ORD,Chicago-O'Hare Intl Arpt,US, United States,3,14:55,T14:55:00.000-04:00,CVG,Cincinnati-Cincinnati No Kentucky Intl Arpt,CVG,Cincinnati-Cincinnati No Kentucky Intl Arpt,US, United States,N,0,17:09,T17:09:00.000-04:00,E75,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,21d11e17-befa-4440-be7b-e9334dadc4be,0,1,FALSE,Secure Sell,TRUE,RT,0,American Airlines,NA,NA,7e512c8f-2c85-4302-951e-5c5f04eddb59,NA,0 Pcs included
