UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo
171,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5897,ORD,ORD,US,N,19:00,LHR,LON,GB,3,1,08:40,772,True,0,No check-in baggage included in the fare,1,0 Pcs included
170,SN,1,1501,0,MAN,LAD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,1,SN,2174,MAN,MAN,GB,1,11:05,BRU,BRU,BE,N,0,13:25,319,False,0,No check-in baggage included in the fare,0,0 Pcs included
170,SN,1,1501,0,MAN,LAD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,2,SN,359,BRU,BRU,BE,N,10:30,LAD,LAD,AO,N,1,19:10,333,False,0,No check-in baggage included in the fare,0,0 Pcs included
170,SN,1,1501,0,MAN,LAD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,3,SN,359,LAD,LAD,AO,N,20:10,BRU,BRU,BE,N,1,07:00,333,True,0,No check-in baggage included in the fare,1,0 Pcs included
170,SN,1,1501,0,MAN,LAD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,4,SN,2173,BRU,BRU,BE,N,09:55,MAN,MAN,GB,1,0,10:20,319,True,0,No check-in baggage included in the fare,1,0 Pcs included
169,BA,1,1001,1,LGW,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,1,BA,2263,LGW,LON,GB,N,12:05,KIN,KIN,JM,N,0,17:15,777,False,0,No check-in baggage included in the fare,0,0 Pcs included
169,BA,1,1001,1,LGW,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,BA,1677,KIN,KIN,JM,N,08:28,MIA,MIA,US,N,0,10:25,738,True,0,No check-in baggage included in the fare,1,0 Pcs included
169,BA,1,1001,1,LGW,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,BA,1500,MIA,MIA,US,N,18:05,LHR,LON,GB,3,1,07:45,772,True,0,No check-in baggage included in the fare,1,0 Pcs included
168,KL,1,1001,220,LHR,KGL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KL,1,KL,1000,LHR,LON,GB,2,11:35,AMS,AMS,NL,N,0,18:25,73H,False,0,No check-in baggage included in the fare,0,0 Pcs included
168,KL,1,1001,220,LHR,KGL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KL,2,KL,535,AMS,AMS,NL,N,19:35,KGL,KGL,RW,N,0,03:55,333,False,0,No check-in baggage included in the fare,0,0 Pcs included
